dataset,margin_type,agegroup,region,estimate,std_error,variance,ci_lower,ci_upper,cv,n_unweighted,weighted_total
hnir52,direct_age_by_region,25-34,ATLANTIDA,0.21619933822651005,0.030971365928150276,9.592255074553878e-4,0.15549657645532458,0.2769020999976955,0.14325374990603285,196,215.153073
hnir52,direct_age_by_region,20-24,ATLANTIDA,0.34513188277229123,0.05087428609784019,0.0025881929859648957,0.24542011428133773,0.44484365126324477,0.14740535035242075,106,117.494952
hnir52,direct_age_by_region,<19,ATLANTIDA,0.28969128908884895,0.059525849182468525,0.003543326720893989,0.17302276854204765,0.4063598096356502,0.20548028685878716,34,39.86619699999999
hnir52,direct_age_by_region,35+,ATLANTIDA,0.15925555298977426,0.025496428901765074,6.500678867427614e-4,0.1092834706079286,0.20922763537161992,0.16009758167366503,162,175.4284699999999
hnir52,direct_age_by_region,25-34,CHOLUTECA,0.2817611687778348,0.02913890996928904,8.490760741983321e-4,0.22464995468927318,0.3388723828663964,0.10341705386757787,226,239.1344459999998
hnir52,direct_age_by_region,20-24,CHOLUTECA,0.3561946854104868,0.050786025976803865,0.002579220434516597,0.2566559035780357,0.45573346724293795,0.14257940406459715,97,102.9866180000001
hnir52,direct_age_by_region,<19,CHOLUTECA,0.4476253926971388,0.11169594085821377,0.01247598320420159,0.228705371395724,0.6665454139985536,0.24952994776546716,38,42.476118
hnir52,direct_age_by_region,35+,CHOLUTECA,0.2906561707737645,0.03940986655100341,0.0015531375815678976,0.21341425169826805,0.3678980898492609,0.13558929936388148,226,234.29659799999988
hnir52,direct_age_by_region,25-34,COLON,0.36263547412949737,0.02954545693635022,8.729340255777254e-4,0.3047274426274718,0.42054350563152293,0.08147426008796789,199,137.74465700000002
hnir52,direct_age_by_region,20-24,COLON,0.31137653754984035,0.0433573495347087,0.0018798597586749046,0.22639769399669685,0.39635538110298385,0.13924411221179028,113,78.87223999999996
hnir52,direct_age_by_region,<19,COLON,0.27332123422305843,0.061976716067730614,0.003841113334540098,0.15184910285024159,0.3947933655958753,0.22675412045429005,48,31.631527000000013
