country,agegroup,region,estimate,std_error,variance,ci_lower,ci_upper,cv,n_unweighted,weighted_total
Colombia,Adolescent,Amazonas,0.5873825831082079,0.05089339838205971,0.002590137998875038,0.48763335522852186,0.687131810987894,0.08664437769460404,154,10.960199000000008
Colombia,Young Adult,Amazonas,0.33093123935051577,0.022220327007256447,4.937429323094103e-4,0.2873801986915905,0.37448228000944106,0.06714484571135068,799,59.102045000000246
Colombia,Adolescent,Antioquia,0.24289737706065612,0.024162044022041525,5.838043713230726e-4,0.19554064098458343,0.2902541131367288,0.09947428957212577,378,686.292767
Colombia,Young Adult,Antioquia,0.11151266306649253,0.007925769695715611,6.281782526952393e-5,0.09597843991313096,0.1270468862198541,0.07107506428206857,1856,3812.333570999988
Colombia,Adolescent,Arauca,0.29217986651308314,0.05274637270761677,0.0027821798338108195,0.18879887569102785,0.39556085733513846,0.18052706141973307,117,28.87114399999999
Colombia,Young Adult,Arauca,0.1304076289755445,0.015109928343952589,2.283099345593818e-4,0.1007927136124165,0.16002254433867252,0.11586690489393202,589,122.28325999999974
Colombia,Adolescent,Atlantico,0.4571660030825454,0.04242182605908331,0.0017996113261871199,0.3740207518483194,0.5403112543167714,0.0927930462305695,155,194.98884300000012
Colombia,Young Adult,Atlantico,0.1870416795054885,0.01352323074821609,1.828777698694971e-4,0.16053663428436032,0.21354672472661668,0.07230062723971246,1034,1400.1738580000037
Colombia,Adolescent,Bogota,0.27046189933539316,0.02766497195427243,7.6535067323068e-4,0.21623955067170855,0.3246842479990778,0.10228787131294148,293,663.7895890000004
Colombia,Young Adult,Bogota,0.10920881034537626,0.008760581870592893,7.674779471136088e-5,0.09203838539539966,0.12637923529535286,0.08021863659980619,1851,5004.378706000056
Colombia,Adolescent,Bolivar,0.4044580678962228,0.04267410088405886,0.0018210788862628332,0.32081836709083855,0.48809776870160704,0.10550933278702286,174,238.0121219999998
Colombia,Young Adult,Bolivar,0.18393055689222926,0.013967118860486726,1.9508040926296402e-4,0.15655550695788517,0.21130560682657334,0.07593691389011835,903,1221.658688999997
Colombia,Adolescent,Boyaca,0.24617987311254408,0.04323746166955653,0.0018694780916263705,0.16143600545728223,0.33092374076780595,0.17563361749638245,98,96.15119100000004
Colombia,Young Adult,Boyaca,0.1275234595587964,0.012977220303453926,1.684082468043768e-4,0.10208857514458476,0.15295834397300803,0.1017633959143855,699,719.2893159999977
Colombia,Adolescent,Caldas,0.21647031351923643,0.03890827319747894,0.0015138537232096583,0.14021149935153265,0.2927291276869402,0.1797395336336564,178,121.47729899999989
Colombia,Young Adult,Caldas,0.08080415562575113,0.011266634908081634,1.2693706215200363e-4,0.0587219569789494,0.10288635427255287,0.13943137974566147,782,567.3544590000023
Colombia,Adolescent,Caqueta,0.2394634128293952,0.03906610801311648,0.001526160795292484,0.1628952481075353,0.3160315775512551,0.16314019562123663,168,59.571755999999986
Colombia,Young Adult,Caqueta,0.15197042158805169,0.016555058327120703,2.7406995621436853e-4,0.1195231035049352,0.18441773967116817,0.10893605580694332,720,245.85606600000074
Colombia,Adolescent,Casanare,0.3307640856470022,0.04102569042874705,0.001683107275155387,0.25035520996576843,0.411172961328236,0.12403308644739156,129,43.52142999999996
