survey,region,agegroup,cell_id,logit_prevalence,se_logit
2019,LA PAZ,Adolescent,LA PAZ | Adolescent | 2019,-0.6536616081152856,0.2702241449178543
2019,LEMPIRA,Adolescent,LEMPIRA | Adolescent | 2019,-0.9669111416123377,0.49874894173090867
2019,OCOTEPEQUE,Adolescent,OCOTEPEQUE | Adolescent | 2019,-0.7522107589641889,0.42572981598395626
2019,OLANCHO,Adolescent,OLANCHO | Adolescent | 2019,-1.1714555135669857,0.2263295972828128
2019,SANTA BARBARA,Adolescent,SANTA BARBARA | Adolescent | 2019,-1.3035395747596035,0.44241829188123727
2019,VALLE,Adolescent,VALLE | Adolescent | 2019,-1.4111766228996068,0.4181080400320707
2019,YORO,Adolescent,YORO | Adolescent | 2019,-0.9816690682315315,0.2521550811382683
2019,ATLANTIDA,Young_Adult,ATLANTIDA | Young_Adult | 2019,-1.5366159394488286,0.16684990874207742
2019,CHOLUTECA,Young_Adult,CHOLUTECA | Young_Adult | 2019,-1.8629767663858823,0.15431862455488776
2019,COLON,Young_Adult,COLON | Young_Adult | 2019,-1.1976448950144227,0.16338656045746314
2019,COMAYAGUA,Young_Adult,COMAYAGUA | Young_Adult | 2019,-1.2010887789613915,0.13811557378224532
2019,COPAN,Young_Adult,COPAN | Young_Adult | 2019,-1.3160642563196236,0.14567997828024598
2019,CORTES,Young_Adult,CORTES | Young_Adult | 2019,-1.472192254083863,0.09901158311532808
2019,EL PARAISO,Young_Adult,EL PARAISO | Young_Adult | 2019,-1.9652928488483932,0.19036720640171217
2019,FRANCISCO MORAZAN,Young_Adult,FRANCISCO MORAZAN | Young_Adult | 2019,-1.7658490462895602,0.12192028476415047
2019,GRACIAS A DIOS,Young_Adult,GRACIAS A DIOS | Young_Adult | 2019,-1.1146942520503922,0.18002466332660286
2019,INTIBUCA,Young_Adult,INTIBUCA | Young_Adult | 2019,-1.2618345216146352,0.21322172928122082
2019,ISLAS DE LA BAHIA,Young_Adult,ISLAS DE LA BAHIA | Young_Adult | 2019,-1.7423764671430946,0.18984079322650457
2019,LA PAZ,Young_Adult,LA PAZ | Young_Adult | 2019,-1.5971195933828066,0.21983472449948643
2019,LEMPIRA,Young_Adult,LEMPIRA | Young_Adult | 2019,-1.2333513096641349,0.12476865713856053
2019,OCOTEPEQUE,Young_Adult,OCOTEPEQUE | Young_Adult | 2019,-1.2910069863837517,0.1624081214561752
2019,OLANCHO,Young_Adult,OLANCHO | Young_Adult | 2019,-1.5006156584095494,0.16467451155667212
2019,SANTA BARBARA,Young_Adult,SANTA BARBARA | Young_Adult | 2019,-1.3664010550901977,0.16879608043971367
2019,VALLE,Young_Adult,VALLE | Young_Adult | 2019,-1.424566703406457,0.16237101894935024
2019,YORO,Young_Adult,YORO | Young_Adult | 2019,-1.4223395338291454,0.1408896717867514
