survey_year,agegroup,region,estimate,std_error,variance,ci_lower,ci_upper,cv,n_unweighted,weighted_total
2011-12,Adolescent,ATLANTIDA,0.22913808634386604,0.04401906956032939,0.0019376784849571174,0.14286229537265707,0.315413877315075,0.19210717110672845,80,80.09152600000004
2011-12,Young Adult,ATLANTIDA,0.18102855200009665,0.019103308719701485,3.649364040402228e-4,0.14358675492393178,0.21847034907626153,0.10552649573030494,396,388.3901639999997
2011-12,Adolescent,CHOLUTECA,0.22105102095227955,0.04232910624606685,0.0017917532355908158,0.13808749721221908,0.30401454469234,0.19149020920018664,68,63.93065700000001
2011-12,Young Adult,CHOLUTECA,0.18798285667747522,0.020719062326208723,4.292795436773216e-4,0.14737424072466546,0.22859147263028498,0.11021782886168553,404,371.8971039999995
2011-12,Adolescent,COLON,0.3025889957341853,0.043108115076582326,0.0018583095854558644,0.21809864274267585,0.3870793487256947,0.1424642524490594,106,80.154207
2011-12,Young Adult,COLON,0.24832943312942976,0.024343378873305857,5.92600094969314e-4,0.20061728727573705,0.29604157898312244,0.09802856860957776,391,285.53720799999974
2011-12,Adolescent,COMAYAGUA,0.36053115759562376,0.057591063053721726,0.0033167305436577516,0.2476547481789539,0.47340756701229364,0.15973948947379626,75,77.97655600000006
2011-12,Young Adult,COMAYAGUA,0.23111930560393013,0.02432065897612447,5.914944530329439e-4,0.1834516899304454,0.2787869212774149,0.10522988943988461,443,498.98715600000054
2011-12,Adolescent,COPAN,0.256845305965557,0.0473474736248613,0.002241783258656937,0.16404596290186874,0.34964464902924525,0.1843423746712763,86,77.93223600000002
2011-12,Young Adult,COPAN,0.23677949734070203,0.023972146757792162,5.746638201771253e-4,0.18979495306332078,0.2837640416180833,0.10124249365771158,375,338.93179900000064
2011-12,Adolescent,CORTES,0.32411088178425457,0.045955391581303566,0.002111898015390947,0.23403996938946442,0.4141817941790447,0.14178910417421256,137,251.98046899999989
2011-12,Young Adult,CORTES,0.2163250983449951,0.01585709565479282,2.514474826052493e-4,0.1852457619621946,0.2474044347277956,0.07330215391606541,787,1441.4223609999983
2011-12,Adolescent,EL PARAISO,0.21327565127274678,0.04614234329483701,0.0021291158447385903,0.12283832025258301,0.30371298229291055,0.21635073211347527,83,73.43912399999996
2011-12,Young Adult,EL PARAISO,0.1539204647323454,0.01666565624992761,2.777440982407512e-4,0.12125637870376245,0.1865845507609284,0.10827446680925612,412,385.2712249999999
2011-12,Adolescent,FRANCISCO MORAZAN,0.29198540943574924,0.05434314240494576,0.002953177126444214,0.1854748075153242,0.3984960113561743,0.1861159518551349,100,163.2912859999999
2011-12,Young Adult,FRANCISCO MORAZAN,0.18956754799734093,0.016094089715975632,2.590197237858726e-4,0.15802371179007224,0.22111138420460963,0.08489897076793641,796,1365.756352999996
2011-12,Adolescent,GRACIAS A DIOS,0.397005101374607,0.0796627481647983,0.006346153445168075,0.24086898406211807,0.5531412186870959,0.20065925573492807,61,18.035335000000007
2011-12,Young Adult,GRACIAS A DIOS,0.3321480610110387,0.03518591585436997,0.0012380486745108038,0.26318493317341674,0.4011111888486607,0.10593443101027342,246,75.92291799999974
2011-12,Adolescent,INTIBUCA,0.31829517758544257,0.058906580839036646,0.003469985266145959,0.20284040068853354,0.4337499544823516,0.1850690333604689,78,36.92279
2011-12,Young Adult,INTIBUCA,0.24887735893802254,0.03448333434118396,0.0011891003472858771,0.1812912655624488,0.3164634523135963,0.13855552987353614,370,186.37836000000001
2011-12,Adolescent,ISLAS DE LA BAHIA,0.29150068173689614,0.06298167804027469,0.003966691768768818,0.16805886109206059,0.4149425023817317,0.21606013977394722,35,12.061837999999996
2011-12,Young Adult,ISLAS DE LA BAHIA,0.16612378903020936,0.032524998294237266,0.001057875514040137,0.10237596377627764,0.22987161428414107,0.19578772242139653,241,72.70422899999983
2011-12,Adolescent,LA PAZ,0.3328691701632592,0.05128061570611569,0.002629701547198319,0.23236101027423345,0.4333773300522849,0.15405636899615718,87,40.341417000000014
2011-12,Young Adult,LA PAZ,0.25730575793564475,0.025231283903563686,6.366176874222319e-4,0.20785335020095475,0.30675816567033476,0.09805953860493993,415,187.31242699999953
2011-12,Adolescent,LEMPIRA,0.3768247612387024,0.0626476286433389,0.003924725374633698,0.2540376653809183,0.4996118570964865,0.1662513589537029,89,63.19470600000001
2011-12,Young Adult,LEMPIRA,0.3344420147287416,0.03405342929796807,0.0011596360469517102,0.2676985197546431,0.40118550970284006,0.10182162467113483,362,239.2223180000008
2011-12,Adolescent,OCOTEPEQUE,0.2742564814011966,0.05520228872499216,0.0030472926804773963,0.16606198363603047,0.38245097916636267,0.20127979635325152,73,27.898327000000002
2011-12,Young Adult,OCOTEPEQUE,0.20368733949806342,0.024540205316415386,6.022216769718219e-4,0.15558942090467093,0.2517852580914559,0.12047977737295108,391,147.69136399999982
