survey_year,agegroup,region,estimate,std_error,variance,ci_lower,ci_upper,cv,n_unweighted,weighted_total
2010,Adolescent,Amazonas,0.6078398956417499,0.05579863619592388,0.0031134878013250665,0.4984765783112861,0.7172032129722137,0.0917982458802122,111,7.845283000000007
2010,Young Adult,Amazonas,0.3581039842089114,0.022123755867609746,4.894605736895966e-4,0.3147422195056396,0.4014657489121832,0.06178025613561213,522,35.891642000000196
2010,Adolescent,Antioquia,0.27785433224931355,0.03344974990914608,0.001118885768984418,0.21229402713551532,0.3434146373631118,0.12038592178268517,202,410.33599899999973
2010,Young Adult,Antioquia,0.1160637628186622,0.00983513167311244,9.672981502745949e-5,0.09678725895615266,0.13534026668117174,0.08473903856175015,984,2111.396873999994
2010,Adolescent,Arauca,0.36360353241691046,0.07682636696461065,0.005902290660981018,0.21302662010321585,0.5141804447306051,0.21129158579383925,65,10.959634999999981
2010,Young Adult,Arauca,0.15210872221489802,0.023420966026077888,5.485416495946946e-4,0.10620447232064918,0.19801297210914687,0.1539751677947102,355,61.696461999999904
2010,Adolescent,Atlantico,0.48078211161415285,0.05776676743695927,0.003336999420115738,0.36756132793441154,0.5940028952938942,0.12015165714676058,76,102.10450600000009
2010,Young Adult,Atlantico,0.2077121600680709,0.01969127984719688,3.87746502020622e-4,0.16911796075806562,0.24630635937807616,0.09480080434743784,552,734.7336090000038
2010,Adolescent,Bogota,0.2899408284023659,0.03412340756606439,0.0011644069439197405,0.22306017854309812,0.3568214782616337,0.1176909362992837,169,454.4790250000011
2010,Young Adult,Bogota,0.129253501566588,0.01012014169606872,1.0241726794850866e-4,0.10941838832385122,0.14908861480932478,0.07829684746184683,1114,2996.0379820000526
2010,Adolescent,Bolivar,0.44338733980584527,0.05894697082981686,0.00347474537001128,0.3278533999816711,0.5589212796300194,0.13294689662458367,94,143.28214699999987
2010,Young Adult,Bolivar,0.21084419278165697,0.018942166868452105,3.5880568567228465e-4,0.173718227930343,0.24797015763297095,0.08983964233754337,438,659.9547189999988
2010,Adolescent,Boyaca,0.2622533264226393,0.05540933156968763,0.0030701940249995823,0.15365303213861337,0.3708536207066653,0.2112817111817742,58,58.86721900000001
