country,level,region,survey,p_mean,p_q025,p_q975,estimate_95cri
Colombia,region,Risaralda,2010,0.2545100155925004,0.198870411,0.316115193,25.5% (19.9–31.6)
Colombia,region,Santander,2010,0.3260451858700001,0.26064810000000005,0.3981213585,32.6% (26.1–39.8)
Colombia,region,Sucre,2010,0.42770348089499943,0.362713957,0.49911930275,42.8% (36.3–49.9)
Colombia,region,Tolima,2010,0.33230243343999966,0.26783628924999997,0.4021842245,33.2% (26.8–40.2)
Colombia,region,Valle,2010,0.29762442658249905,0.2546921485,0.34413450824999997,29.8% (25.5–34.4)
Colombia,region,Arauca,2010,0.3543937363774992,0.27465627425,0.4439157735,35.4% (27.5–44.4)
Colombia,region,Casanare,2010,0.34272948427500044,0.28187014925,0.408726836,34.3% (28.2–40.9)
Colombia,region,Putumayo,2010,0.3118662118025001,0.25185457875,0.3789264555,31.2% (25.2–37.9)
Colombia,region,San Andres y Providencia,2010,0.39569528880749866,0.3182621825,0.47888429625,39.6% (31.8–47.9)
Colombia,region,Amazonas,2010,0.5249483544949999,0.443130578,0.60802980175,52.5% (44.3–60.8)
Colombia,region,Guainia,2010,0.4214336677475002,0.34166985299999997,0.5072479385,42.1% (34.2–50.7)
Colombia,region,Guaviare,2010,0.2903295812600001,0.224416073,0.3621385135,29.0% (22.4–36.2)
Colombia,region,Vaupes,2010,0.5612724899049982,0.461260686,0.6612807294999999,56.1% (46.1–66.1)
Colombia,region,Vichada,2010,0.3096064348374995,0.24159162775,0.38207987025000006,31.0% (24.2–38.2)
Colombia,region,Antioquia,2015,0.22205830467499987,0.1844951375,0.26267508225,22.2% (18.4–26.3)
Colombia,region,Atlantico,2015,0.3903736566825012,0.32512029425,0.4592012485,39.0% (32.5–45.9)
Colombia,region,Bogota,2015,0.21676579893000011,0.1767244925,0.26152406425,21.7% (17.7–26.2)
Colombia,region,Bolivar,2015,0.3230956110225008,0.26236381000000003,0.39049033925,32.3% (26.2–39.0)
Colombia,region,Boyaca,2015,0.23430587153750015,0.17573430875,0.30186768350000004,23.4% (17.6–30.2)
Colombia,region,Caldas,2015,0.1701932315882502,0.12202192025,0.22695043275,17.0% (12.2–22.7)
Colombia,region,Caqueta,2015,0.26694872057499996,0.2109988025,0.32800318400000006,26.7% (21.1–32.8)
Colombia,region,Cauca,2015,0.2569665808050003,0.2058986935,0.3138583445,25.7% (20.6–31.4)
Colombia,region,Cesar,2015,0.3218143130125009,0.2683791765,0.38021722725,32.2% (26.8–38.0)
Colombia,region,Cordoba,2015,0.31939942256250065,0.26205420250000006,0.3816066265,31.9% (26.2–38.2)
