country,survey_year,p_mean,p_q025,p_q975,estimate_95cri
Colombia,2005,0.33581102488553033,0.31532209025757574,0.35614260784090923,33.6% (31.5–35.6)
Colombia,2010,0.3721065877065909,0.35035545530303025,0.3945525178636364,37.2% (35.0–39.5)
Colombia,2015,0.3354203997322197,0.31588079337121217,0.35490550606060617,33.5% (31.6–35.5)
Honduras,2005-06,0.3287550860523611,0.30517593466666665,0.35504131563888885,32.9% (30.5–35.5)
Honduras,2011-12,0.3113797987088889,0.2881492029583333,0.33416963836111113,31.1% (28.8–33.4)
Honduras,2019,0.32157459621180556,0.2986720213333333,0.34578754206944456,32.2% (29.9–34.6)
