survey,region,is_mainland,cell_id,has_obs,prevalence,se_prevalence,logit_prevalence,se_logit
2005-06,ATLANTIDA,1,ATLANTIDA | 2005-06,1,0.37571198366169245,0.05277508062916502,-0.5077889775644108,0.22500328542819303
2005-06,COLON,1,COLON | 2005-06,1,0.2279366107870883,0.04312396231907227,-1.2199990895980513,0.24504825403372027
2005-06,COMAYAGUA,1,COMAYAGUA | 2005-06,1,0.4044050184352509,0.047785884945198275,-0.3871439782740151,0.19839561409734238
2005-06,COPAN,1,COPAN | 2005-06,1,0.47195752976646843,0.05955736677513531,-0.11228771429096625,0.23898118733569848
2005-06,CORTES,1,CORTES | 2005-06,1,0.35240981973384516,0.051128469742207756,-0.6084632994383936,0.22403431239176808
2005-06,CHOLUTECA,1,CHOLUTECA | 2005-06,1,0.45598639208902386,0.08620107804320175,-0.17651129392624756,0.3474969936543278
2005-06,EL PARAISO,1,EL PARAISO | 2005-06,1,0.2870626284428918,0.0745147361247515,-0.9096931691033178,0.3640945097003228
2005-06,FRANCISCO MORAZAN,1,FRANCISCO MORAZAN | 2005-06,1,0.3586870764090669,0.036970617427044244,-0.5810671632076218,0.16072039183196285
2005-06,GRACIAS A DIOS,1,GRACIAS A DIOS | 2005-06,0,NA,NA,NA,NA
2005-06,INTIBUCA,1,INTIBUCA | 2005-06,1,0.6947479874757516,0.06526647932670614,0.8224114658529637,0.3077544581244489
2005-06,ISLAS DE LA BAHIA,0,ISLAS DE LA BAHIA | 2005-06,0,NA,NA,NA,NA
2005-06,LA PAZ,1,LA PAZ | 2005-06,1,0.3732682501487673,0.054383245018760094,-0.5182212874436551,0.2324675673511248
2005-06,LEMPIRA,1,LEMPIRA | 2005-06,1,0.45357932601903034,0.06394044398365245,-0.18621897044019833,0.25798548593033427
2005-06,OCOTEPEQUE,1,OCOTEPEQUE | 2005-06,1,0.41531859268629356,0.07344259793355497,-0.3420211770743198,0.3024456716949983
2005-06,OLANCHO,1,OLANCHO | 2005-06,1,0.37993944585547385,0.06276514861907463,-0.48980525423449284,0.266421992807291
2005-06,SANTA BARBARA,1,SANTA BARBARA | 2005-06,1,0.46128306458533735,0.06062007708804801,-0.15517838923099506,0.24394299159131902
2005-06,VALLE,1,VALLE | 2005-06,1,0.366815606232411,0.07096278644612257,-0.5459023946371548,0.3055291512455525
2005-06,YORO,1,YORO | 2005-06,1,0.31590149618963353,0.053542567119154484,-0.7726714745995996,0.24775867304643448
2011-12,ATLANTIDA,1,ATLANTIDA | 2011-12,1,0.22913808634386604,0.04440549834127561,-1.2131844382473493,0.25139861326343826
2011-12,COLON,1,COLON | 2011-12,1,0.3025889957341853,0.04329079313086503,-0.8349994781279658,0.20514154258298534
2011-12,COMAYAGUA,1,COMAYAGUA | 2011-12,1,0.36053115759562376,0.05806505506801509,-0.5730595161979489,0.2518562023872722
2011-12,COPAN,1,COPAN | 2011-12,1,0.256845305965557,0.04724500749839034,-1.0624302436231055,0.24751701783645597
2011-12,CORTES,1,CORTES | 2011-12,1,0.32411088178425457,0.046033299656460816,-0.7349433513061512,0.21013724752416965
2011-12,CHOLUTECA,1,CHOLUTECA | 2011-12,1,0.22105102095227955,0.042658112844299906,-1.2595520093698103,0.24774226350887962
2011-12,EL PARAISO,1,EL PARAISO | 2011-12,1,0.21327565127274678,0.04663574984932569,-1.3052924648506272,0.27794258715629017
2011-12,FRANCISCO MORAZAN,1,FRANCISCO MORAZAN | 2011-12,1,0.29198540943574924,0.05482443066038219,-0.885760868288907,0.2651983224227731
2011-12,GRACIAS A DIOS,1,GRACIAS A DIOS | 2011-12,1,0.397005101374607,0.08048434558379323,-0.4179596062856177,0.3362030831667904
2011-12,INTIBUCA,1,INTIBUCA | 2011-12,1,0.31829517758544257,0.05914446869286593,-0.7616175688040002,0.27257606007772933
2011-12,ISLAS DE LA BAHIA,0,ISLAS DE LA BAHIA | 2011-12,1,0.29150068173689614,0.06334773073239444,-0.888106752396722,0.3067270307978571
2011-12,LA PAZ,1,LA PAZ | 2011-12,1,0.3328691701632592,0.05154011652951693,-0.6952366429738279,0.23209234247563976
2011-12,LEMPIRA,1,LEMPIRA | 2011-12,1,0.3768247612387024,0.06268126670880789,-0.5030475062727343,0.2669243187770479
2011-12,OCOTEPEQUE,1,OCOTEPEQUE | 2011-12,1,0.2742564814011966,0.0554904006380152,-0.9731329401778722,0.27879038688857455
2011-12,OLANCHO,1,OLANCHO | 2011-12,1,0.30479345395429236,0.044434261641471025,-0.8245746429140409,0.20970002379862393
