survey,p_total_mean,p_total_q025,p_total_q975
2005,0.39665553962250005,0.35795893225,0.43629291225000005
2010,0.35361819435500047,0.31849896775,0.39010198150000003
2015,0.2782133962849995,0.2433114115,0.31353295975
