variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
alpha,-0.42014111238,-0.420473925,0.08362773785621481,0.085177023099,-0.5564490524999999,-0.2854781435000001,1.002269256376411,856.6022423550268,1374.1365841491572
beta[1],0,0,0,0,0,0,NA,NA,NA
beta[2],-0.183957717422475,-0.183217865,0.06448418184018596,0.06597389864099999,-0.290559746,-0.08028215030000002,1.0008359224806709,3377.7148574023036,3095.5746077159192
beta[3],-0.53496532111,-0.5351955850000001,0.07414999146413731,0.07510119936899999,-0.6560081440000001,-0.414620759,1.0004179504443589,3851.3988173230528,3163.9388389476685
sigma_b,0.7006823135175,0.562472655,0.3938567712914197,0.250090735314,0.33582900099999996,1.5261837549999997,1.0025638495893365,1575.0340418627666,2309.28626009802
phi,0.4881998303454979,0.51718171,0.32781332788654105,0.460250493633,0.006735451665,0.939573665,1.0024050539195106,1468.439163061768,1998.427518954894
p_total[1],0.3966555396225,0.39640334499999996,0.019981461677224623,0.02036706182700006,0.3643694775,0.429111252,1.0022692571881675,856.6018759589736,1374.1365841491572
p_total[2],0.353618194355,0.35321962500000004,0.01818174115875141,0.01793381129400001,0.324834104,0.383869987,1.0010970138686475,916.647816528353,1713.2223499632437
p_total[3],0.278213396285,0.27837762499999996,0.017867536142881432,0.017763727422000032,0.24848689650000003,0.30656605449999996,1.0004441051094477,1119.4725529164507,1868.7900343002134
