survey,region,theta1_median,theta1_lo,theta1_hi,theta2_median,theta2_lo,theta2_hi,p1_median,p1_lo,p1_hi,p2_median,p2_lo,p2_hi
2019,ATLANTIDA,-1.0337728,-1.3203191075,-0.7521523777499999,-1.4847453,-1.71839202,-1.28559637,0.26235333,0.21076520599999998,0.3203524952500001,0.184711735,0.15207840125000002,0.21659910275
2019,CHOLUTECA,-1.0279585999999998,-1.4079335325,-0.68539516,-1.5954746499999999,-1.9028665275,-1.399311865,0.26348006,0.19656019449999998,0.33505822475,0.16861505,0.12978438350000002,0.19792533325
2019,COLON,-1.1314076499999999,-1.5515327424999998,-0.801630275,-1.3565258999999998,-1.5658572675,-1.07732926,0.24390140999999999,0.1748650125,0.30967689375,0.20480551000000002,0.17280777025,0.25401176525
2019,COMAYAGUA,-1.1181762499999999,-1.6148425325,-0.7816959164999999,-1.3467172,-1.530047875,-1.104582235,0.24634972500000002,0.1659173755,0.31395449750000004,0.20640757999999998,0.17798668524999997,0.248882313
2019,COPAN,-1.0868797,-1.4455798825000001,-0.7993592732499999,-1.40821685,-1.6010010725,-1.1912683849999999,0.25220630499999996,0.19068275475,0.310162594,0.196515455,0.16784174424999998,0.23303216175000002
2019,CORTES,-1.0075376,-1.2162071074999998,-0.7110237002499998,-1.4731561499999999,-1.6351880375,-1.31313635,0.267462025,0.228604616,0.32937269175,0.186463365,0.16312088825,0.21196249050000002
2019,EL PARAISO,-1.0353477999999998,-1.4166233000000001,-0.6649281269999999,-1.5886912999999998,-1.9323967800000001,-1.3706586625,0.262048635,0.19519148674999998,0.339633449,0.169568105,0.126485536,0.20251346174999998
2019,FRANCISCO MORAZAN,-0.95335855,-1.291544175,-0.5494974644999999,-1.612057,-1.8475403125,-1.4082192824999997,0.27820989,0.21559155375,0.3659810085000001,0.166303225,0.13616195700000003,0.19651507175000002
2019,GRACIAS A DIOS,-1.0131042,-1.2664462125,-0.615783772,-1.4212802500000001,-1.60831411,-1.13547409,0.26637279,0.219866213,0.350740976,0.19446096000000002,0.16682281599999998,0.24315228575000003
2019,INTIBUCA,-1.0025998999999999,-1.2363783725,-0.6591113492499999,-1.4604529,-1.6844306224999999,-1.1677224174999998,0.26843055,0.22506700724999998,0.34093926725,0.188398065,0.1565096695,0.237266917
2019,ISLAS DE LA BAHIA,-0.99016938,-1.4083012925,-0.54285041275,-1.579191,-1.9205503725,-1.3313281875,0.270878625,0.196502122,0.3675247555,0.170910085,0.12780019925,0.208939761
2019,LA PAZ,-0.9753165500000001,-1.222881255,-0.6442301559999999,-1.5033792,-1.776094765,-1.26078357,0.27382207000000003,0.22742980575,0.34429093875,0.18192207,0.14478601975000002,0.2208390365
2019,LEMPIRA,-1.0798595,-1.4635083075000002,-0.6828064045,-1.3660467,-1.5350310525,-1.14763981,0.25353261000000005,0.18793134175,0.33563522825000003,0.203259315,0.17725877099999998,0.24092044925
2019,OCOTEPEQUE,-1.0508928,-1.3504942,-0.6917616747499998,-1.4141496,-1.60651128,-1.181994685,0.259053695,0.20578958525,0.33364129800000003,0.19558038,0.167073546,0.23469374425
2019,OLANCHO,-1.0526927,-1.32422297,-0.83426031875,-1.47588205,-1.6783501674999999,-1.287277515,0.258708365,0.21011655675,0.3027450065,0.18605022,0.15731405625,0.2163139715
2019,SANTA BARBARA,-1.0654314,-1.3856481,-0.81427995525,-1.4363553,-1.61699419,-1.204609535,0.25627287499999996,0.20010344775,0.30697921075,0.192110385,0.16561982925000002,0.2306562165
2019,VALLE,-1.06549425,-1.376196805,-0.8337388169999999,-1.4533547,-1.65161835,-1.2317799049999998,0.25626089,0.201620515,0.30285509824999995,0.18948581,0.1608903455,0.22587005925
2019,YORO,-1.0410545500000001,-1.3161100875,-0.7926976222499998,-1.44087435,-1.6127552374999998,-1.25665809,0.26094657499999996,0.21146619525,0.31158972975000004,0.191409985,0.166206441,0.22154973125000002
