survey,region,theta1_median,theta1_lo,theta1_hi,theta2_median,theta2_lo,theta2_hi,p1_median,p1_lo,p1_hi,p2_median,p2_lo,p2_hi
2011-12,ATLANTIDA,-1.0630427999999998,-1.322550025,-0.8638542957500001,-1.4640638,-1.6759842724999998,-1.264030935,0.25672839999999997,0.21039434375,0.2965347025,0.18784656500000002,0.15762795125,0.2202807755
2011-12,CHOLUTECA,-1.0353248499999999,-1.3270013125,-0.7961713954999999,-1.43108535,-1.661479195,-1.1965324675,0.26205307,0.20965582875000002,0.3108450855,0.192929625,0.15956354025,0.23209264825000003
2011-12,COLON,-0.78624293,-0.9801269962500001,-0.5632760604999999,-1.14226545,-1.3476971800000002,-0.936047664,0.312975955,0.27286658825000004,0.36278978500000003,0.24190466,0.20624710125,0.2816993855
2011-12,COMAYAGUA,-0.81088628,-1.0313421625,-0.584191515,-1.17905725,-1.42197772,-0.9752285144999999,0.30770166499999996,0.2628239720000001,0.3579687015,0.23522174499999998,0.194351732,0.27383957775
2011-12,COPAN,-0.86469604,-1.062322065,-0.66474525175,-1.2347479,-1.4275162499999998,-1.0335305525,0.29635914500000005,0.2568659515,0.339674466,0.225351515,0.1934859765,0.2624002025
2011-12,CORTES,-0.874879655,-1.0506495875000001,-0.69965775125,-1.2502138999999999,-1.410463415,-1.09367945,0.29423996500000005,0.25910037475000003,0.33188811399999996,0.22266311,0.19616096700000002,0.25092604275
2011-12,EL PARAISO,-1.16861755,-1.4735437599999999,-0.9512815314999999,-1.59542645,-1.8175241625,-1.3762048075,0.23710496,0.1864045765,0.2786271655,0.1686218,0.13973121225000001,0.20161921325000004
2011-12,FRANCISCO MORAZAN,-0.99919986,-1.2398192775,-0.8065008714999999,-1.3983762,-1.5881764449999998,-1.2173779525,0.26909877000000004,0.22446744524999998,0.308636643,0.19807391000000002,0.16964061275,0.228398204
2011-12,GRACIAS A DIOS,-0.5379539099999999,-0.7934739645000001,-0.20425491674999982,-0.8610072950000001,-1.1032542575,-0.6013554462499997,0.36866368000000005,0.311423232,0.44911306325000006,0.29712894,0.24913064649999997,0.3540336572500001
2011-12,INTIBUCA,-0.804441835,-1.022397725,-0.5293002017499999,-1.1593152,-1.4129346675,-0.8933332825,0.30907617,0.2645606205,0.3706801225,0.23879173999999997,0.19577159049999998,0.29042243775
2011-12,ISLAS DE LA BAHIA,-1.0365096999999999,-1.39557058,-0.7161884274999999,-1.43641445,-1.829672435,-1.0893356899999997,0.261824015,0.19851992775,0.32823286775000005,0.192101205,0.138277299,0.25174339650000005
2011-12,LA PAZ,-0.7478875300000001,-0.964288823,-0.5121528654999999,-1.1020544,-1.320196815,-0.8957284929999999,0.321281775,0.27602032175,0.3746889825,0.24935516000000002,0.21078555100000002,0.28992908624999997
2011-12,LEMPIRA,-0.548366605,-0.820562778,-0.2037996197499998,-0.871136415,-1.1538385575,-0.5835675812500001,0.36624345,0.30564420800000003,0.44922571275000006,0.295017895,0.23978864775,0.35811210875
2011-12,OCOTEPEQUE,-0.93354203,-1.19966525,-0.6999234709999999,-1.3144485000000001,-1.5795050149999998,-1.0639016874999998,0.282206665,0.23153477900000002,0.33182919825,0.2117434,0.17086559224999998,0.25656455675000006
2011-12,OLANCHO,-0.889876965,-1.0888300075,-0.6964718464999999,-1.2656895000000001,-1.464548855,-1.0758655125,0.291135215,0.2518386625,0.33259493,0.21999603,0.18777258575,0.254289223
2011-12,SANTA BARBARA,-0.71420604,-0.9189625867500001,-0.44333563125,-1.0623445,-1.250196645,-0.870712065,0.328670125,0.2851693195,0.39094644475,0.25686167000000004,0.2226660955,0.295106156
2011-12,VALLE,-0.865578465,-1.0982661950000001,-0.61047364575,-1.23856115,-1.45373359,-1.0051425649999999,0.29617516,0.25006488475,0.351951158,0.22468653500000002,0.189427632,0.2679315325
2011-12,YORO,-0.89009602,-1.1267964474999999,-0.6747060075,-1.2711665,-1.486334425,-1.0487412825,0.29109001,0.24475277825,0.337443888,0.219057635,0.18447255525,0.25946688775
2019,ATLANTIDA,-1.0337728,-1.3203191075,-0.7521523777499999,-1.4847453,-1.71839202,-1.28559637,0.26235333,0.21076520599999998,0.3203524952500001,0.184711735,0.15207840125000002,0.21659910275
2019,CHOLUTECA,-1.0279585999999998,-1.4079335325,-0.68539516,-1.5954746499999999,-1.9028665275,-1.399311865,0.26348006,0.19656019449999998,0.33505822475,0.16861505,0.12978438350000002,0.19792533325
2019,COLON,-1.1314076499999999,-1.5515327424999998,-0.801630275,-1.3565258999999998,-1.5658572675,-1.07732926,0.24390140999999999,0.1748650125,0.30967689375,0.20480551000000002,0.17280777025,0.25401176525
2019,COMAYAGUA,-1.1181762499999999,-1.6148425325,-0.7816959164999999,-1.3467172,-1.530047875,-1.104582235,0.24634972500000002,0.1659173755,0.31395449750000004,0.20640757999999998,0.17798668524999997,0.248882313
2019,COPAN,-1.0868797,-1.4455798825000001,-0.7993592732499999,-1.40821685,-1.6010010725,-1.1912683849999999,0.25220630499999996,0.19068275475,0.310162594,0.196515455,0.16784174424999998,0.23303216175000002
2019,CORTES,-1.0075376,-1.2162071074999998,-0.7110237002499998,-1.4731561499999999,-1.6351880375,-1.31313635,0.267462025,0.228604616,0.32937269175,0.186463365,0.16312088825,0.21196249050000002
2019,EL PARAISO,-1.0353477999999998,-1.4166233000000001,-0.6649281269999999,-1.5886912999999998,-1.9323967800000001,-1.3706586625,0.262048635,0.19519148674999998,0.339633449,0.169568105,0.126485536,0.20251346174999998
2019,FRANCISCO MORAZAN,-0.95335855,-1.291544175,-0.5494974644999999,-1.612057,-1.8475403125,-1.4082192824999997,0.27820989,0.21559155375,0.3659810085000001,0.166303225,0.13616195700000003,0.19651507175000002
2019,GRACIAS A DIOS,-1.0131042,-1.2664462125,-0.615783772,-1.4212802500000001,-1.60831411,-1.13547409,0.26637279,0.219866213,0.350740976,0.19446096000000002,0.16682281599999998,0.24315228575000003
2019,INTIBUCA,-1.0025998999999999,-1.2363783725,-0.6591113492499999,-1.4604529,-1.6844306224999999,-1.1677224174999998,0.26843055,0.22506700724999998,0.34093926725,0.188398065,0.1565096695,0.237266917
2019,ISLAS DE LA BAHIA,-0.99016938,-1.4083012925,-0.54285041275,-1.579191,-1.9205503725,-1.3313281875,0.270878625,0.196502122,0.3675247555,0.170910085,0.12780019925,0.208939761
2019,LA PAZ,-0.9753165500000001,-1.222881255,-0.6442301559999999,-1.5033792,-1.776094765,-1.26078357,0.27382207000000003,0.22742980575,0.34429093875,0.18192207,0.14478601975000002,0.2208390365
2019,LEMPIRA,-1.0798595,-1.4635083075000002,-0.6828064045,-1.3660467,-1.5350310525,-1.14763981,0.25353261000000005,0.18793134175,0.33563522825000003,0.203259315,0.17725877099999998,0.24092044925
2019,OCOTEPEQUE,-1.0508928,-1.3504942,-0.6917616747499998,-1.4141496,-1.60651128,-1.181994685,0.259053695,0.20578958525,0.33364129800000003,0.19558038,0.167073546,0.23469374425
2019,OLANCHO,-1.0526927,-1.32422297,-0.83426031875,-1.47588205,-1.6783501674999999,-1.287277515,0.258708365,0.21011655675,0.3027450065,0.18605022,0.15731405625,0.2163139715
2019,SANTA BARBARA,-1.0654314,-1.3856481,-0.81427995525,-1.4363553,-1.61699419,-1.204609535,0.25627287499999996,0.20010344775,0.30697921075,0.192110385,0.16561982925000002,0.2306562165
2019,VALLE,-1.06549425,-1.376196805,-0.8337388169999999,-1.4533547,-1.65161835,-1.2317799049999998,0.25626089,0.201620515,0.30285509824999995,0.18948581,0.1608903455,0.22587005925
2019,YORO,-1.0410545500000001,-1.3161100875,-0.7926976222499998,-1.44087435,-1.6127552374999998,-1.25665809,0.26094657499999996,0.21146619525,0.31158972975000004,0.191409985,0.166206441,0.22154973125000002
